,0
33232,5
34010,6
34121,8
34232,13
34343,1
34344,1
34362,2
34363,1
34376,2
34384,2
34385,3
34393,10
34396,0
34438,4
34439,12
34441,12
34442,3
34446,12
34451,2
34466,4
34490,5
34495,1
34505,5
34509,4
34510,14
34616,5
34671,5
34768,7
34782,4
34890,5
34998,2
35106,2
35217,5
35328,3
35439,14
35468,3
35470,7
35773,5
35884,2
35995,9
36018,13
36106,3
36217,4
36328,8
36406,7
36417,3
36428,11
36439,8
36440,7
36451,6
36462,3
36473,7
36484,1
36495,1
36550,6
36551,5
36773,5
36884,4
37105,1
37438,23
37660,3
37871,13
37883,8
37905,8
37916,4
38165,4
38198,3
38420,2
38428,3
38487,12
38697,3
38708,2
38742,6
38746,5
38747,4
38748,10
38749,1
38750,2
38751,1
38752,22
38755,12
38757,4
38758,1
38759,11
38763,6
38766,4
38772,2
38773,3
38774,1
38775,2
38777,13
38779,7
38780,4
38781,7
38782,2
38783,2
38784,2
38785,7
38786,3
38787,4
38788,21
38789,6
38790,5
38791,9
38792,4
38793,8
38794,3
38795,2
38796,2
38797,1
38799,5
38800,2
38801,4
38802,3
38803,2
38820,11
38841,7
38852,4
38864,1
38875,9
38886,3
38897,2
38938,2
38949,5
38960,2
38972,1
38983,1
38997,4
38998,6
38999,9
39000,11
39001,14
39002,5
39004,5
39007,4
39008,1
39009,11
39010,2
39011,7
39012,11
39013,7
39014,10
39015,9
39017,6
39018,10
39019,9
39020,3
39021,5
39051,1
39093,7
39302,2
39347,3
39358,3
39369,10
39380,5
39391,5
39402,5
39413,1
39489,0
39522,8
39533,4
39555,7
39716,2
39717,2
39718,3
39719,1
39720,7
39722,4
39723,3
39724,7
39743,7
39810,17
39854,19
39855,13
39880,9
39881,10
39923,2
39924,8
39925,1
39926,9
39927,9
39941,9
39959,14
39961,8
39965,2
39980,8
39981,10
39986,10
39987,13
39990,6
39991,4
39993,4
39995,7
40014,3
40015,5
40016,3
40075,6
40111,12
40187,10
40208,11
40209,7
40263,9
40285,5
40286,6
40288,3
40289,6
40409,5
40473,10
40520,9
40537,2
40538,6
40539,2
40540,7
40541,4
40542,3
40544,12
40545,7
40546,14
40547,6
40548,10
40570,5
40571,11
40572,9
40573,12
40631,1
40730,4
40732,10
40748,3
40766,13
40826,5
40900,4
40901,8
40964,3
41005,9
41087,9
41098,7
41109,6
41120,7
41131,3
41142,8
41153,2
41164,2
41175,2
41220,2
41231,4
41253,7
41264,5
41275,6
41282,2
41283,5
41284,8
41286,7
41298,6
41309,4
41385,4
41387,13
41388,8
41408,9
41480,7
41484,12
41510,4
41511,4
41519,14
41565,13
41600,10
41629,4
41720,6
41740,7
41789,6
41790,12
41791,3
41792,8
41793,4
41794,5
41799,5
41800,12
41801,12
41802,9
41803,11
42129,2
42140,4
42151,4
42295,5
42406,5
42441,7
42454,2
42455,1
42457,1
42517,2
42628,9
42662,15
42684,4
42695,11
42739,9
42771,3
42839,4
42873,7
42884,1
42900,8
42901,4
42902,12
42903,4
42905,17
42907,14
42908,17
42909,8
42913,13
42914,10
42915,7
42916,3
42917,6
42918,2
42919,11
42920,3
42921,6
42922,8
42923,3
42926,9
42928,5
42930,6
42931,5
42932,7
42933,2
42934,3
42935,0
42961,5
43072,4
43084,7
43095,3
43161,11
43165,10
43184,10
43198,17
43199,2
43206,9
43207,3
43210,7
43215,9
43229,2
43240,10
43293,8
43294,7
43316,3
43327,8
43338,4
43349,10
43360,1
43371,5
43404,5
43416,2
43438,4
43449,3
43732,9
43733,15
43848,7
43959,6
44070,8
44181,5
61369,5
62479,9
65521,2
66727,4
68349,2
68360,2
68371,5
68393,0
72510,4
72511,6
72932,6
72935,12
73112,3
73123,6
73134,7
73145,3
73156,8
73167,4
73179,7
73244,2
73289,2
73355,15
73383,2
73636,1
73644,13
73647,9
73648,13
73649,11
73654,5
73655,5
73657,2
73662,8
73676,3
73679,3
73680,3
73681,5
73682,13
73685,6
73687,20
73693,16
73920,3
73923,10
73924,11
73925,7
73926,11
73927,8
73928,14
73929,8
73930,0
73934,5
73935,10
73936,9
73937,7
73938,7
73939,9
73940,6
73941,9
74015,5
74016,4
74020,10
74021,8
74022,8
74023,5
74024,2
74025,5
74026,1
74027,11
74028,22
74035,13
74036,15
74038,6
74039,14
74042,7
74043,6
74044,8
74045,5
74046,4
74047,11
74054,2
74055,13
74058,3
74059,1
74062,15
74064,4
74065,12
74066,14
74068,5
74075,19
74077,6
74078,3
74086,7
74088,20
74173,5
74187,1
74189,16
74245,8
74246,5
74247,14
74248,2
74287,3
74289,11
74290,20
74291,17
74292,2
74293,1
74294,15
74296,5
74297,13
74298,6
74299,3
74300,5
74301,25
74394,12
74459,10
74528,3
74559,5
74560,12
74562,16
74563,16
74564,7
74565,5
74566,6
74567,9
74568,19
74575,6
74576,10
74577,3
74578,3
74579,3
74580,3
74582,5
74587,9
74589,10
74594,8
74637,2
74654,9
74655,18
74702,6
74703,6
74731,5
74732,5
74733,5
74734,10
74735,1
74736,1
74737,24
74755,0
74770,3
74775,9
74778,5
74779,14
74787,7
74788,14
74789,30
74790,9
74791,9
74793,6
74796,26
74797,18
74798,17
74799,23
75271,15
75273,10
75274,0
75275,8
75276,4
75277,7
75279,12
75280,4
75281,4
75282,3
75283,15
75285,9
75286,7
75288,10
75289,9
75290,2
75292,0
75293,25
75294,4
75296,13
75297,12
75298,2
75299,1
75300,2
75301,3
75302,2
75304,13
75305,4
75306,4
75307,11
75308,17
75309,7
75310,2
75311,2
75312,10
75313,11
75314,9
75315,12
75316,1
75317,5
75318,6
75319,3
75320,6
75321,3
75322,7
75323,5
75324,5
75325,3
75326,1
75328,1
75338,4
75393,18
75504,20
75582,5
75593,2
75615,1
75654,15
75655,5
75656,6
75660,9
75661,4
75662,7
75663,7
75664,10
75665,3
75666,9
75667,7
75668,10
75669,9
75671,16
75672,8
75673,2
75674,8
75675,10
75677,1
75678,9
75725,13
75837,19
75854,6
75855,14
75858,1
76946,7
76947,1
76985,1
76986,3
76987,12
77500,5
77611,3
77722,3
77833,8
77933,3
78054,6
78910,4
78921,5
78943,5
79042,1
79554,1
79576,2
79598,3
79809,6
79819,6
79826,4
79827,4
79849,4
79850,39
79852,34
79903,3
79904,8
79907,19
79908,11
79912,3
79913,10
79914,3
79929,7
79930,10
79932,7
79933,4
79934,4
79935,4
79936,7
79937,1
79938,7
79939,22
79940,15
80087,4
80187,16
80209,4
80231,1
80263,9
80275,6
80287,8
80320,10
80342,8
80364,6
80386,8
80387,11
80409,2
80431,14
80453,8
80475,6
80497,13
80498,10
80520,18
80542,4
80553,11
80575,11
80608,1
80609,5
80631,6
80653,4
80664,3
80697,7
80719,2
80930,5
81005,9
81038,4
81039,5
81050,5
81072,3
81094,5
81127,10
81149,5
81150,9
81172,8
81183,11
81205,9
81227,9
81249,6
81260,2
81283,8
81305,4
81327,4
81349,6
81372,2
81383,1
81416,8
81427,8
81449,9
81471,8
81482,5
81494,3
81527,8
81538,11
81560,5
81582,2
81593,3
81605,8
81627,8
81649,5
81682,17
81705,3
81737,1
81770,1
81792,3
81803,10
81815,1
81826,5
81837,15
81848,5
81859,3
81870,10
81892,13
81926,8
81948,0
81970,10
81981,5
82003,16
82036,5
82125,6
82136,12
82147,2
82159,11
82214,12
82258,1
82259,5
82270,6
82303,11
82325,9
82336,9
82358,7
82369,9
82381,6
82403,6
82425,3
82458,24
82469,4
82480,13
82481,3
82504,9
82537,4
82564,6
82570,6
82592,4
82593,8
82615,12
82637,1
82659,1
82670,1
82703,8
82704,2
82715,1
82759,9
82770,7
82792,5
82798,10
82801,9
82802,12
82804,9
82805,2
82806,11
82807,9
82808,5
82809,7
82810,7
82811,17
82812,2
82813,9
82814,8
82816,10
82817,13
82818,8
82819,9
82820,7
82821,12
82822,2
82823,9
82824,5
82825,5
82826,9
82827,6
82828,3
82831,32
82832,10
82833,1
82834,6
82835,9
82836,12
82837,7
82838,5
82839,11
82840,15
82841,12
82842,8
82843,8
82844,16
82845,10
82846,6
82848,2
82849,4
82850,3
82851,11
82852,25
82853,9
82854,10
82855,3
82856,12
82857,10
82858,7
82864,8
82868,5
82873,7
82880,7
82881,7
82890,9
82896,18
82897,5
82905,8
82906,5
82913,2
82920,12
82923,6
82924,5
82927,6
82935,6
82936,12
82944,12
82950,11
82958,15
82959,5
82980,10
82981,11
82991,9
82998,5
83005,8
83013,12
83026,11
83061,9
83069,11
83086,6
83091,11
83100,9
83113,5
83124,2
83146,5
83224,12
83257,4
83478,1
83531,15
83589,13
83680,1
83703,1
83725,1
83747,1
83776,24
83780,2
83791,2
83825,2
83847,2
83869,1
83891,2
83902,4
83924,23
83936,2
83958,2
83980,2
84002,2
84013,2
84047,3
84058,3
84080,2
84091,3
84102,3
84812,1
84826,4
84894,14
84895,2
84958,4
84976,3
84977,4
84978,7
84979,10
84980,6
84981,8
84983,8
84984,3
84985,6
84986,3
84987,6
85022,1
85024,14
85557,3
85685,12
85930,3
85936,6
85937,4
85938,3
85941,4
85951,6
85961,4
85964,6
85965,5
85967,5
85968,4
85969,5
85970,7
85971,8
86168,4
86451,3
86462,2
86553,4
86586,11
86607,7
86618,4
86629,1
86640,9
86645,7
86646,8
86648,5
86649,9
86651,3
86652,8
86653,11
86654,2
86655,6
86662,2
86673,2
86704,2
86715,5
86726,2
86737,1
86745,4
86746,5
86747,8
86748,1
86763,2
86764,3
86859,4
86870,8
86892,8
86905,6
86908,6
86909,9
86910,13
86916,2
86938,2
86970,4
86992,8
87015,4
87037,5
87059,13
87070,14
87092,8
87126,44
87203,2
87237,2
87324,11
87335,8
87346,4
87357,5
87368,4
87379,3
87390,2
87401,10
87412,3
87420,1
87436,9
87446,5
87470,5
87481,3
87492,1
87493,3
87494,5
87495,7
87496,6
87497,6
87498,8
87499,13
87500,4
87501,7
87502,6
87503,3
87504,6
87505,3
87506,2
87510,4
87511,4
87514,5
87525,10
87536,2
87540,0
87545,3
87546,3
87547,5
87558,1
87569,5
87581,4
87592,4
87603,5
87625,2
87701,0
87744,4
87766,7
87777,6
87910,5
88021,1
88033,17
88044,17
88132,6
88133,4
88202,3
88203,9
88244,3
88322,11
88333,2
88674,13
88675,2
88676,1
88678,8
88716,7
88717,3
88718,11
88719,7
88720,6
88721,3
88723,7
88724,1
88725,1
88862,13
88863,8
88865,8
88867,4
89132,9
89181,3
89243,13
89355,6
89389,9
89400,5
89411,7
89422,6
89433,2
89454,7
89465,3
89494,6
89495,7
89496,13
89498,8
89503,5
89504,4
89505,10
89506,1
89507,2
89508,1
89510,12
89512,4
89513,1
89514,11
89518,6
89520,2
89526,2
89527,3
89528,1
89529,2
89530,2
89532,13
89533,7
89534,4
89535,7
89536,2
89537,2
89538,2
89539,7
89540,3
89541,21
89542,2
89543,6
89544,5
89545,9
89546,4
89547,8
89548,3
89549,2
89550,2
89551,1
89552,5
89554,2
89555,4
89556,3
89557,2
89564,2
89653,2
89664,4
89709,7
89731,5
89753,6
89755,4
89756,6
89757,9
89758,11
89759,14
89760,5
89762,5
89765,4
89766,1
89767,11
89768,2
89769,7
89770,11
89771,7
89772,5
89773,10
89774,9
89776,6
89777,7
89778,10
89779,9
89780,3
89781,5
89786,7
89797,8
89798,6
89815,1
89829,4
89857,7
89972,15
90005,9
90027,15
90049,7
90060,15
90138,4
90160,6
90182,5
90226,1
90237,5
90260,3
90295,11
90296,9
90297,4
90299,3
90315,4
90326,7
90349,7
90350,3
90383,5
90416,2
90472,0
90477,9
90478,6
90479,7
90480,5
90481,7
90482,5
90496,2
90497,2
90498,3
90499,1
90500,7
90501,4
90502,3
90503,7
90505,5
90538,3
90560,38
90571,3
90656,9
90657,10
90658,10
90661,5
90662,9
90663,1
90666,5
90708,2
90709,8
90710,1
90711,9
90712,9
90726,9
90744,14
90746,8
90764,8
90765,10
90771,10
90772,13
90774,6
90775,4
90777,4
90779,7
90792,6
90800,3
90801,5
90802,3
90862,6
90894,3
90898,14
90899,12
90903,8
90997,11
90998,7
91014,2
91052,9
91074,5
91075,6
91076,3
91077,6
91233,7
91262,10
91322,2
91325,2
91326,6
91327,2
91328,7
91329,4
91330,3
91331,12
91332,7
91333,4
91334,14
91335,6
91336,10
91345,4
91359,5
91360,11
91361,9
91362,12
91455,1
91456,1
91521,4
91522,10
91538,3
91555,13
91614,5
91675,1
91686,4
91688,8
91689,16
91792,9
92007,1
92067,2
92068,5
92069,8
92118,0
92119,15
92141,4
92152,11
92170,4
92171,13
92172,8
92268,7
92272,12
92296,4
92298,4
92299,4
92307,1
92329,8
92341,4
92353,13
92374,7
92385,1
92388,10
92417,6
92428,5
92450,1
92508,6
92562,4
92578,6
92579,12
92580,3
92581,8
92582,4
92583,5
92585,7
92588,5
92589,9
92590,12
92591,12
92592,9
92593,11
92596,3
92628,10
92639,12
92650,11
92695,15
92706,2
92728,3
92761,2
92795,14
92817,10
92893,11
92915,7
92970,3
93003,4
93015,6
93037,3
93044,14
93045,4
93046,7
93070,10
93081,1
93083,4
93084,10
93085,7
93086,7
93088,4
93089,4
93091,10
93092,5
93093,8
93094,0
93137,2
93159,4
93170,3
93225,6
93242,7
93255,2
93256,1
93258,1
93447,6
93567,3
93669,7
93670,7
93697,8
93698,4
93699,12
93700,4
93702,17
93703,14
93705,17
93706,8
93710,13
93711,10
93712,7
93713,9
93714,3
93716,2
93717,11
93718,3
93719,6
93720,8
93721,3
93724,9
93728,6
93729,5
93730,7
93731,2
93732,3
93733,0
93892,9
93963,10
93994,17
93995,2
94002,9
94006,3
94013,7
94019,9
94225,5
94336,1
94538,9
94539,15
94540,13
94541,5
135919,3
135920,3
135922,1
141552,1
151464,11
151575,3
151686,2
151797,5
151908,7
152019,6
152130,7
152241,7
152352,10
152463,11
152575,10
152621,6
152622,10
152623,4
152624,3
152625,5
152626,7
152627,3
152628,3
152629,2
152631,7
152632,5
152633,13
152634,2
152635,4
152636,7
152637,2
152638,6
152639,9
152640,9
152642,12
152643,9
152644,4
152645,4
152646,3
152647,9
152648,9
152649,9
152650,8
152651,15
152653,23
152654,11
152655,10
152656,7
152657,9
152658,9
152659,5
152660,8
152661,9
152662,5
152664,15
152665,7
152666,13
152667,12
152668,6
152669,2
152670,6
152671,5
152672,7
152673,9
152675,12
152676,8
152677,12
152678,6
152679,4
152680,4
152681,10
152682,14
152683,15
152684,7
152685,12
152687,7
152688,11
152689,6
152690,6
152691,5
152692,12
152693,10
152694,8
152695,13
152696,4
152698,9
152699,9
152700,15
152701,7
152702,9
152703,7
152704,9
152705,10
152706,12
152707,17
152709,17
152710,16
152711,9
152712,8
152713,10
152714,11
152715,5
152716,17
152717,12
152718,8
152720,11
152721,10
152722,6
152723,14
152724,6
152725,8
152726,5
152727,9
152728,11
152729,8
152731,10
152732,7
152733,8
152734,5
152735,5
152736,9
152737,12
152738,11
152739,5
152740,5
152742,5
152743,5
152744,14
152745,9
152746,9
152747,12
152748,5
152749,5
152750,13
152751,4
152753,19
152754,7
152755,12
152756,12
152757,9
152758,11
152759,6
152760,7
152761,7
152762,12
152764,10
152765,10
152766,8
152767,10
152768,6
152769,10
152770,8
152771,12
152772,11
152775,9
152776,10
152777,10
152778,11
152779,6
152780,7
152781,7
152782,10
152783,10
152785,10
152786,10
152787,9
152788,7
152789,12
152790,4
152791,8
152792,7
152793,14
152794,6
152795,5
152797,6
152798,8
152799,6
152800,13
152801,11
152802,13
152803,5
152804,14
152805,6
152806,14
152808,10
152809,13
152810,6
152811,13
152812,13
152813,10
152814,6
152815,11
152816,5
152817,5
152819,10
152820,6
152821,8
152822,14
152823,14
152824,10
152825,9
152826,11
152827,14
152828,20
152830,10
152831,14
152832,8
152833,4
152834,8
152835,10
152836,8
152837,12
152838,10
152839,9
152841,12
152842,7
152843,5
152844,11
152845,3
152846,9
152847,6
152848,8
152849,17
152850,9
152852,3
152853,5
152854,6
152855,12
152856,4
152857,9
