region,date,mean,median,lower_90,upper_90,lower_50,upper_50
AL,4/19/20,1.044287219,1.035841649,0.923460619,1.181133317,0.992626416,1.082098514
AL,4/20/20,1.053946091,1.045658066,0.925686746,1.192673856,0.981010083,1.071983337
AL,4/21/20,1.062490778,1.051731829,0.92429574,1.193544655,0.997330512,1.089857232
AL,4/22/20,1.070074438,1.057836551,0.923112198,1.197051257,1.001945257,1.092293074
AL,4/23/20,1.076540334,1.063191847,0.951472417,1.230592726,0.99880846,1.091522722
AL,4/24/20,1.081823696,1.067245926,0.954538464,1.23266811,1.0081686,1.100168053
AL,4/25/20,1.085998149,1.070687053,0.960961831,1.234729496,1.015802996,1.104202263
AL,4/26/20,1.088451836,1.072328338,0.963152098,1.230027666,1.016508691,1.103209831
AL,4/27/20,1.089037681,1.072355663,0.963792992,1.228352616,1.028705562,1.115318841
AL,4/28/20,1.088125044,1.073052152,0.968413731,1.230220661,1.016861856,1.101246101
AL,4/29/20,1.085566663,1.070840661,0.959728816,1.216500499,1.026160397,1.111467294
AL,4/30/20,1.081976706,1.069703897,0.964519695,1.224713533,1.021080638,1.105410988
AL,5/1/20,1.077800832,1.065918642,0.959867795,1.216016281,1.009866134,1.09232542
AL,5/2/20,1.073307779,1.062379125,0.947654532,1.1972152,1.001961272,1.086239436
AL,5/3/20,1.068099829,1.059229526,0.942811531,1.193198469,1.01247948,1.096768485
AL,5/4/20,1.063529932,1.054659362,0.936802773,1.180692907,1.011978856,1.092373478
AL,5/5/20,1.060268549,1.052713546,0.926072196,1.176935745,1.005372308,1.085425968
AL,5/6/20,1.057790183,1.051613953,0.925644063,1.172704268,1.006816163,1.087640007
AL,5/7/20,1.056942476,1.050613246,0.927341917,1.167998353,1.008343948,1.089307359
AL,5/8/20,1.05714499,1.050603987,0.938414171,1.183811151,1.016717149,1.096013481
AL,5/9/20,1.058275927,1.050259647,0.945652747,1.194192462,1.008026025,1.086146542
AL,5/10/20,1.060464713,1.053203488,0.941828793,1.194837382,1.008203416,1.088687253
AL,5/11/20,1.062926235,1.056161391,0.930799208,1.186480659,0.998862637,1.082425265
AL,5/12/20,1.06520085,1.056952242,0.940199742,1.193723178,1.010968647,1.09884538
AL,5/13/20,1.067133235,1.057929762,0.940026146,1.193020057,1.010959162,1.100338924
AL,5/14/20,1.068994911,1.059073475,0.939858891,1.200597353,0.997840767,1.090741533
AL,5/15/20,1.070121164,1.062744152,0.930059403,1.196315729,1.001994838,1.095366218
AL,5/16/20,1.070653326,1.063859647,0.938418842,1.214278171,0.994298617,1.093453066
AL,5/17/20,1.070337827,1.06173433,0.937737135,1.220386182,1.006754043,1.109965853
AL,5/18/20,1.069071718,1.061013595,0.914893315,1.219528022,1.004088574,1.114189485
AL,5/19/20,1.067177388,1.0579575,0.90053816,1.23403079,1.003091941,1.119575471
AL,5/20/20,1.064091842,1.053701911,0.881833133,1.239959564,0.991542308,1.114659349
AL,5/21/20,1.061252008,1.05125205,0.869292988,1.256100971,0.991126517,1.127450423
AL,5/22/20,1.057710175,1.046552594,0.840179186,1.257428892,0.986403196,1.133155984
AL,5/23/20,1.054133918,1.045537356,0.840798218,1.291575882,0.976290936,1.132238218
AL,5/24/20,1.050136863,1.040592231,0.846816618,1.326235787,0.945944217,1.109547152
AL,5/25/20,1.046161344,1.041054397,0.809459555,1.308178368,0.956295746,1.13068188
AR,4/7/20,1.082507579,1.07913911,0.837725825,1.307562588,1.003082293,1.162477631
AR,4/8/20,1.087523172,1.08129471,0.849151944,1.298823563,1.014008696,1.164064296
AR,4/9/20,1.091379797,1.084532164,0.901685587,1.322695586,1.019544499,1.16414519
AR,4/10/20,1.093112046,1.084287131,0.894049003,1.295072666,1.027323419,1.16086258
AR,4/11/20,1.090351113,1.085370676,0.915924074,1.304712054,1.008422142,1.139937841
AR,4/12/20,1.084281626,1.075284009,0.887944802,1.273760894,0.995645896,1.123175326
AR,4/13/20,1.074439076,1.063453127,0.914849013,1.289954584,0.985901646,1.111110281
AR,4/14/20,1.059580711,1.046695723,0.851054973,1.222830886,0.97965966,1.10053552
AR,4/15/20,1.041771952,1.033244671,0.869122548,1.22849792,0.973791732,1.095850389
AR,4/16/20,1.020130492,1.014225819,0.852465753,1.20889955,0.948039721,1.068654524
AR,4/17/20,0.995133398,0.996156166,0.804735349,1.157231513,0.926608248,1.049869219
AR,4/18/20,0.969252011,0.97763921,0.786589373,1.148495462,0.918242647,1.044350313
AR,4/19/20,0.944235531,0.958342535,0.774082802,1.143594319,0.902486904,1.030515536
AR,4/20/20,0.921495352,0.93901617,0.715745931,1.09712891,0.89449896,1.024473335
AR,4/21/20,0.902626087,0.923890407,0.698208731,1.095864601,0.870775041,1.00778982
AR,4/22/20,0.890093462,0.909200619,0.683815475,1.10374979,0.869889914,1.014407408
AR,4/23/20,0.885336772,0.907081076,0.674411381,1.102541134,0.847692543,1.00010293
AR,4/24/20,0.890366504,0.911112767,0.673706062,1.102678647,0.857560249,1.00723243
AR,4/25/20,0.904284678,0.922791613,0.688659631,1.108962723,0.871103464,1.024972703
AR,4/26/20,0.925135165,0.937734864,0.724115545,1.148369557,0.872948809,1.023248412
AR,4/27/20,0.951297641,0.958482147,0.75137914,1.158204885,0.886772493,1.035349798
AR,4/28/20,0.982227873,0.987404856,0.799815843,1.194295936,0.920922791,1.058525804
AR,4/29/20,1.014765674,1.012029374,0.822550208,1.20668728,0.946224777,1.079847788
AR,4/30/20,1.045188832,1.038021928,0.849332113,1.228757471,0.968939598,1.101587437
AR,5/1/20,1.073302576,1.061169928,0.888392924,1.277128292,0.993910918,1.130141526
AR,5/2/20,1.099525554,1.085244787,0.894380059,1.29098152,0.990847031,1.131734414
AR,5/3/20,1.120989516,1.104540059,0.922293966,1.336647055,1.017730976,1.165896645
AR,5/4/20,1.138011814,1.119066552,0.908462656,1.328018532,1.017794063,1.168235794
AR,5/5/20,1.15100676,1.127739181,0.935311598,1.346564607,1.017531035,1.163802393
AR,5/6/20,1.159479145,1.136168454,0.969041879,1.374753926,1.030243895,1.173916151
AR,5/7/20,1.163434335,1.141187695,0.961613436,1.370231991,1.041472594,1.18996638
AR,5/8/20,1.16245105,1.143329421,0.956565978,1.36012338,1.029368648,1.180406961
AR,5/9/20,1.158730705,1.137798921,0.96407747,1.366250482,1.044312727,1.196161333
AR,5/10/20,1.153589884,1.133244704,0.948263307,1.353518031,1.046692032,1.192383522
AR,5/11/20,1.147346871,1.130246448,0.93685991,1.339201906,1.040616079,1.188152882
AR,5/12/20,1.140943278,1.125691467,0.952272796,1.342039908,1.035251636,1.182363989
AR,5/13/20,1.134198435,1.12327561,0.929078964,1.316682058,1.023548065,1.173420082
AR,5/14/20,1.126966816,1.120173348,0.949477804,1.335366388,1.017455025,1.163699251
AR,5/15/20,1.119471686,1.10972969,0.953063074,1.337248314,1.016252384,1.159055904
AR,5/16/20,1.112865987,1.100070356,0.940588038,1.326970795,1.014414822,1.156711421
AR,5/17/20,1.104271832,1.090264999,0.93462049,1.332077827,0.984628861,1.124802988
AR,5/18/20,1.096634174,1.082409685,0.913861592,1.329749325,0.992884452,1.138217459
AR,5/19/20,1.089868712,1.076728195,0.86855897,1.302341608,0.973699525,1.127827732
AR,5/20/20,1.081798282,1.070872606,0.868860557,1.331260724,0.975016425,1.129318754
AR,5/21/20,1.073388628,1.059584441,0.873868891,1.369405238,0.967938229,1.127390324
AR,5/22/20,1.066853734,1.057029637,0.803058251,1.321246765,0.951603231,1.113863303
AR,5/23/20,1.062159115,1.052530631,0.812708348,1.364331658,0.965232123,1.132392995
AR,5/24/20,1.057469723,1.047611766,0.759298998,1.322933058,0.960726916,1.139483829
AR,5/25/20,1.052467387,1.043516604,0.760417603,1.323900473,0.960341748,1.150638205
AZ,4/7/20,1.069207688,1.059981878,0.916763868,1.259462801,0.991096958,1.114362593
AZ,4/8/20,1.074007621,1.063850984,0.927439964,1.249868936,0.990872934,1.104144051
AZ,4/9/20,1.078833775,1.069655768,0.942483263,1.242996607,1.006484103,1.113368905
AZ,4/10/20,1.083644225,1.073796763,0.947822038,1.229403986,1.008143047,1.108571043
AZ,4/11/20,1.088112303,1.077291474,0.958622713,1.232359463,1.015023118,1.111254326
AZ,4/12/20,1.092394584,1.081392252,0.96793899,1.227321473,1.01560003,1.11000104
AZ,4/13/20,1.096743951,1.084993486,0.977632177,1.231138481,1.024383094,1.116818182
AZ,4/14/20,1.100586256,1.087699564,0.975334848,1.227267924,1.02402951,1.11561163
AZ,4/15/20,1.103969896,1.093093118,0.987904831,1.238627374,1.024696712,1.11608526
AZ,4/16/20,1.107118722,1.095695733,0.981728885,1.233258125,1.033052291,1.126658497
AZ,4/17/20,1.10951626,1.098440385,0.978105315,1.230765648,1.02935538,1.122342732
AZ,4/18/20,1.111636873,1.097358784,0.980130409,1.233596889,1.03128165,1.120138239
AZ,4/19/20,1.112346568,1.097635907,0.995745139,1.258947778,1.036116949,1.12339752
AZ,4/20/20,1.112186122,1.097314218,0.981598019,1.245533669,1.031665454,1.12100685
AZ,4/21/20,1.111140878,1.09674641,0.983387761,1.245011352,1.03408589,1.124059553
AZ,4/22/20,1.108505861,1.094007718,1.004567709,1.257146501,1.029873261,1.116849964
AZ,4/23/20,1.105315582,1.091201639,0.990524516,1.240533145,1.033022685,1.11985263
AZ,4/24/20,1.101082047,1.08845956,0.980959556,1.220364316,1.034641383,1.121381184
AZ,4/25/20,1.096479404,1.082711027,0.993655173,1.228281219,1.033935348,1.118210079
AZ,4/26/20,1.090793224,1.07613362,0.979596326,1.208339229,1.019454744,1.099600499
AZ,4/27/20,1.084275643,1.070680457,0.979651258,1.195313737,1.026621192,1.105012575
AZ,4/28/20,1.077483516,1.064312408,0.976599159,1.194652774,1.007992901,1.085220492
AZ,4/29/20,1.069850806,1.059215066,0.976644162,1.193097991,1.016433328,1.090597279
AZ,4/30/20,1.062236013,1.052997229,0.952933281,1.167401871,1.013177869,1.083806416
AZ,5/1/20,1.054405597,1.045552792,0.934883683,1.144688648,1.00225969,1.072250118
AZ,5/2/20,1.046326532,1.039437861,0.949609101,1.153472839,1.000409285,1.068350979
AZ,5/3/20,1.038803574,1.034025113,0.941850594,1.146453156,0.995683193,1.062708084
AZ,5/4/20,1.031080894,1.027276542,0.924114426,1.130803017,0.993234422,1.059356969
AZ,5/5/20,1.023383214,1.019519992,0.917356387,1.131391739,0.976088548,1.042035355
AZ,5/6/20,1.016323491,1.014462181,0.912589857,1.123905637,0.980746076,1.045599459
AZ,5/7/20,1.00951165,1.009025244,0.907741377,1.119913292,0.976950414,1.040338432
AZ,5/8/20,1.002738414,1.003904515,0.897389809,1.112811276,0.97322319,1.03916024
AZ,5/9/20,0.996995687,0.999542205,0.88447777,1.113017804,0.967545115,1.03641976
AZ,5/10/20,0.991649067,0.993811455,0.88137213,1.110190693,0.952786503,1.024323788
AZ,5/11/20,0.986613049,0.991063072,0.872478144,1.099256687,0.960739536,1.035689714
AZ,5/12/20,0.981875762,0.987193862,0.864593801,1.086871879,0.950740322,1.028338198
AZ,5/13/20,0.978047759,0.984998512,0.862833302,1.089972856,0.951380574,1.031363196
AZ,5/14/20,0.974522061,0.979244354,0.848398686,1.087926923,0.934951561,1.020506994
AZ,5/15/20,0.971144297,0.975860592,0.828878763,1.085806328,0.94719737,1.036974955
AZ,5/16/20,0.969237825,0.973912794,0.830720669,1.109566778,0.937485357,1.028655599
AZ,5/17/20,0.967820385,0.972824972,0.81060325,1.100797329,0.935470925,1.033114011
AZ,5/18/20,0.966927429,0.97390329,0.797626369,1.113081541,0.928924652,1.02999621
AZ,5/19/20,0.967013878,0.973126378,0.790415482,1.121328744,0.927871708,1.034507542
AZ,5/20/20,0.967333018,0.972133239,0.785778993,1.136155014,0.915257603,1.031777408
AZ,5/21/20,0.96748301,0.971402035,0.772001383,1.149416323,0.908458758,1.034440667
AZ,5/22/20,0.968388432,0.969756615,0.781474323,1.180515235,0.904776548,1.040894518
AZ,5/23/20,0.968866905,0.971280744,0.758507478,1.186035697,0.906735904,1.052550721
AZ,5/24/20,0.969940926,0.973459172,0.760757956,1.20596822,0.911883777,1.063909114
AZ,5/25/20,0.971191564,0.978531662,0.762249675,1.226297355,0.910424431,1.06907078
CA,4/7/20,1.099227624,1.087615068,1.000724957,1.20873468,1.029197224,1.104230737
CA,4/8/20,1.101080932,1.089002978,1.009241895,1.205959676,1.048578654,1.117361689
CA,4/9/20,1.101961973,1.092144267,1.020383015,1.198459257,1.047599362,1.109466724
CA,4/10/20,1.101497283,1.092106776,1.021959428,1.192213791,1.047204031,1.106683727
CA,4/11/20,1.100045269,1.089906765,1.023147911,1.182192159,1.048496489,1.107347538
CA,4/12/20,1.096969878,1.087415598,1.020774672,1.176367547,1.045727338,1.103509705
CA,4/13/20,1.092786701,1.084483394,1.021787231,1.170925575,1.041677084,1.098979356
CA,4/14/20,1.086944681,1.07907419,1.016815817,1.159057365,1.04158607,1.095218811
CA,4/15/20,1.079827318,1.072488752,1.014785243,1.148160141,1.037597427,1.08710939
CA,4/16/20,1.07252589,1.066101478,1.01190989,1.138830942,1.033612992,1.080920731
CA,4/17/20,1.064381816,1.058363801,1.003024038,1.124427072,1.028444698,1.072983658
CA,4/18/20,1.056429242,1.051046942,1.001478459,1.117965078,1.020419001,1.062393639
CA,4/19/20,1.048514751,1.042544608,0.994631652,1.109925736,1.018766921,1.057632697
CA,4/20/20,1.041539587,1.036589249,0.980477208,1.094180041,1.015500288,1.054044824
CA,4/21/20,1.03518856,1.032067306,0.97934236,1.089818358,1.009822228,1.048039989
CA,4/22/20,1.029891458,1.026841255,0.977251344,1.08589621,1.004385439,1.042232496
CA,4/23/20,1.026031258,1.02250805,0.971682143,1.078473144,1.000194296,1.035889619
CA,4/24/20,1.022881156,1.01991259,0.968073984,1.071727381,0.996490242,1.030320562
CA,4/25/20,1.021067387,1.017989113,0.966733536,1.067479046,0.997484287,1.030416888
CA,4/26/20,1.020065588,1.016826479,0.974290109,1.073501325,0.994051535,1.027191569
CA,4/27/20,1.019469743,1.016027126,0.97736122,1.076039403,0.995350146,1.028264032
CA,4/28/20,1.01947329,1.01540144,0.977871477,1.072902565,0.993488842,1.026340109
CA,4/29/20,1.019253605,1.014398912,0.975508746,1.071471627,0.993626794,1.026518004
CA,4/30/20,1.019543061,1.015393816,0.974021262,1.06907929,0.9965851,1.027962512
CA,5/1/20,1.01997214,1.015136202,0.968124571,1.065226526,0.9969795,1.029794915
CA,5/2/20,1.020256721,1.01560726,0.969802426,1.067588413,0.994217527,1.025807774
CA,5/3/20,1.020392745,1.015495138,0.97443267,1.073503074,0.994622603,1.026207826
CA,5/4/20,1.021151412,1.01700985,0.979415747,1.078098839,0.996217104,1.028184734
CA,5/5/20,1.021836177,1.018192946,0.973476527,1.069219639,0.997570823,1.029625352
CA,5/6/20,1.022712708,1.019608556,0.972659986,1.067411637,0.999264154,1.032459827
CA,5/7/20,1.023852834,1.020301326,0.974755713,1.069864929,1.000763443,1.035272234
CA,5/8/20,1.025864479,1.023796539,0.975629856,1.073334622,1.004145571,1.039478756
CA,5/9/20,1.028460604,1.025022013,0.978643323,1.077726559,1.005102462,1.042190396
CA,5/10/20,1.030992454,1.028418247,0.986658048,1.08619927,1.006064416,1.041809268
CA,5/11/20,1.034034346,1.029690604,0.985742065,1.087512148,1.006795625,1.042260224
CA,5/12/20,1.037322454,1.0335396,0.992080737,1.092808388,1.012065667,1.048227993
CA,5/13/20,1.040204553,1.036584614,0.989275153,1.095709384,1.012065075,1.050160352
CA,5/14/20,1.0429649,1.038998934,0.986004053,1.093340811,1.013318855,1.054021807
CA,5/15/20,1.045343936,1.040435815,0.988158978,1.103610513,1.014917793,1.058726704
CA,5/16/20,1.046940751,1.041908281,0.979055754,1.104673743,1.018983641,1.064855468
CA,5/17/20,1.04833351,1.042835749,0.984359078,1.116487868,1.010059054,1.058845398
CA,5/18/20,1.049054089,1.042750599,0.989828289,1.133790644,1.009863783,1.061340176
CA,5/19/20,1.048985646,1.042944745,0.973734614,1.131341468,1.008481864,1.063906876
CA,5/20/20,1.048224733,1.040553832,0.971014294,1.14197821,1.004579529,1.064397803
CA,5/21/20,1.046652865,1.037759042,0.961318593,1.151917578,1.006289483,1.071616366
CA,5/22/20,1.045320256,1.03906688,0.944834482,1.156550885,0.989026466,1.062015955
CA,5/23/20,1.042889176,1.038151892,0.928241662,1.165285416,0.995859374,1.076539253
CA,5/24/20,1.040386334,1.037277546,0.903802394,1.173167158,0.9894089,1.079260365
CA,5/25/20,1.037864688,1.033202591,0.896293845,1.197001816,0.98331143,1.081911928
CO,4/7/20,1.057765515,1.053822831,0.901167413,1.200584201,0.989090882,1.093881981
CO,4/8/20,1.065703494,1.05787544,0.909601636,1.191001828,1.00999784,1.105308099
CO,4/9/20,1.072977712,1.066462915,0.946286334,1.204705658,1.012065711,1.10231206
CO,4/10/20,1.080046427,1.072531342,0.956234362,1.198497291,1.008290623,1.091712778
CO,4/11/20,1.085704018,1.074833102,0.970657137,1.199707112,1.024207422,1.103687497
CO,4/12/20,1.090656448,1.079240048,0.978367738,1.198408186,1.022337042,1.102825735
CO,4/13/20,1.093659926,1.082942889,0.985900769,1.19995597,1.031234342,1.110230337
CO,4/14/20,1.094557067,1.082944936,0.983724229,1.194766075,1.027971439,1.104443477
CO,4/15/20,1.092841049,1.0812074,0.997910765,1.212786619,1.042812993,1.118748957
CO,4/16/20,1.088144143,1.077428888,0.994047213,1.208603499,1.040051405,1.115660819
CO,4/17/20,1.080135114,1.068439107,0.992805437,1.201770767,1.022894095,1.097085976
CO,4/18/20,1.069254386,1.058860667,0.986343291,1.182115339,0.99915605,1.070556343
CO,4/19/20,1.055563061,1.045840683,0.974855913,1.160158349,1.003493872,1.073979818
CO,4/20/20,1.039516007,1.033254384,0.959863791,1.137481786,0.989359282,1.056039348
CO,4/21/20,1.022006493,1.019083692,0.936068585,1.120150512,0.989274547,1.051606289
CO,4/22/20,1.003493569,1.002252333,0.928748436,1.10782071,0.973880244,1.034198271
CO,4/23/20,0.984780404,0.987704398,0.904344159,1.082056137,0.959552762,1.020851189
CO,4/24/20,0.967577906,0.97378117,0.885977544,1.067966352,0.956251057,1.020222501
CO,4/25/20,0.951718117,0.960950729,0.853340408,1.041258732,0.936247324,1.000335496
CO,4/26/20,0.938112395,0.949493012,0.846067657,1.042119858,0.924986274,0.992557372
CO,4/27/20,0.926842237,0.939105451,0.829554273,1.035360073,0.915558784,0.988033317
CO,4/28/20,0.917956062,0.931202799,0.819789144,1.034853953,0.899775167,0.973345647
CO,4/29/20,0.911059916,0.92431226,0.798543685,1.017540903,0.892444418,0.969565644
CO,4/30/20,0.906440907,0.919890562,0.802790255,1.026734086,0.883522375,0.962521027
CO,5/1/20,0.903345512,0.914249048,0.794075321,1.013779411,0.885648723,0.964657739
CO,5/2/20,0.901599937,0.913591001,0.790236403,1.008242872,0.890297024,0.972183298
CO,5/3/20,0.901017501,0.91496447,0.783458065,1.005980638,0.887724526,0.969799406
CO,5/4/20,0.902744773,0.915879854,0.801140363,1.024894838,0.894044652,0.976645891
CO,5/5/20,0.905185964,0.918565061,0.796578577,1.018813764,0.893772529,0.976845013
CO,5/6/20,0.909895513,0.922611278,0.800390686,1.031009384,0.897707379,0.978604939
CO,5/7/20,0.916018693,0.927755637,0.793026086,1.024969704,0.897844361,0.979470297
CO,5/8/20,0.924704804,0.935252771,0.807107889,1.033049681,0.89671117,0.97681083
CO,5/9/20,0.935227967,0.946340949,0.817233427,1.044010612,0.904189264,0.9828769
CO,5/10/20,0.948128858,0.955072658,0.825124662,1.054222012,0.92653134,1.003858421
CO,5/11/20,0.961781917,0.967165753,0.848450947,1.076441434,0.927710136,1.004784449
CO,5/12/20,0.976651533,0.979638863,0.840219232,1.073877981,0.943086979,1.020776928
CO,5/13/20,0.990915141,0.99155357,0.859305445,1.100588616,0.951455579,1.031718004
CO,5/14/20,1.004411287,1.002782251,0.857980656,1.109485471,0.958703834,1.044530732
